team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
6,2001,100,0,1,1,0,6140,5668,1480,1020,2278,1004,294,42,140,101,55,654,685,373,31,41,19,38,1,120,162,1458,476,0,0.2611,0.3095,0.4019,688.7593,4.2074,0.1408,0.0000,0.7114,64.7436,0.0000
6,2002,100,0,1,1,0,5996,5495,1350,1026,2061,928,261,33,128,69,60,586,608,381,30,68,18,34,0,135,161,1449,422,0,0.2457,0.3009,0.3751,597.3161,3.6720,0.1294,0.0000,0.6760,53.4884,0.0000
6,2003,100,0,1,1,0,6144,5593,1346,1218,2100,910,250,54,132,101,51,587,611,406,37,63,27,55,0,110,162,1458,436,0,0.2407,0.2967,0.3755,621.1868,3.7354,0.1348,0.0000,0.6722,66.4474,0.0000
6,2004,100,0,1,1,0,6157,5582,1453,1179,2339,963,270,44,176,106,52,724,748,432,24,59,26,55,3,112,162,1458,490,0,0.2603,0.3172,0.4190,739.7847,4.5666,0.1587,0.0000,0.7363,67.0886,0.0000
6,2005,100,0,1,1,0,6313,5723,1537,1072,2405,1025,311,46,155,73,30,730,760,467,44,54,28,39,2,163,162,1458,512,0,0.2686,0.3276,0.4202,768.8788,4.6693,0.1517,0.0000,0.7478,70.8738,0.0000
6,2006,100,0,1,1,0,6477,5847,1687,1099,2713,1149,276,36,226,87,35,856,878,521,51,43,23,42,1,151,162,1458,538,0,0.2885,0.3488,0.4640,932.8277,5.7099,0.1755,0.0000,0.8128,71.3115,0.0000
6,2007,100,0,1,1,0,6362,5801,1581,1085,2453,1072,313,29,167,95,28,760,788,442,33,60,9,50,0,135,162,1458,509,0,0.2725,0.3279,0.4229,801.2635,4.8704,0.1503,0.0000,0.7507,77.2358,0.0000
6,2008,100,0,1,1,0,6318,5705,1531,1116,2404,1033,295,31,172,57,19,772,797,522,29,41,9,40,1,140,161,1449,498,0,0.2684,0.3320,0.4214,795.7975,4.9034,0.1530,0.0000,0.7533,75.0000,0.0000
6,2009,100,0,1,1,0,6253,5568,1426,1165,2270,951,275,31,169,56,20,703,736,545,59,61,36,43,0,165,162,1458,475,0,0.2561,0.3268,0.4077,733.2528,4.4934,0.1516,0.0000,0.7345,73.6842,0.0000
6,2010,100,0,1,1,0,6489,5810,1612,1212,2510,1100,300,38,174,41,9,811,849,577,56,34,23,44,1,142,162,1458,512,0,0.2775,0.3439,0.4320,865.6093,5.2924,0.1546,0.0000,0.7759,82.0000,0.0000
6,2011,100,0,1,1,0,6555,5870,1671,1126,2683,1096,337,39,199,35,17,843,882,568,66,44,17,56,0,180,164,1476,575,0,0.2847,0.3492,0.4571,916.8599,5.5393,0.1724,0.0000,0.8063,67.3077,0.0000
6,2012,100,0,1,1,0,6282,5692,1523,1181,2409,1033,276,32,182,45,19,759,780,482,46,51,15,42,0,157,162,1458,490,0,0.2676,0.3281,0.4232,774.7025,4.7517,0.1557,0.0000,0.7513,70.3125,0.0000
6,2013,100,0,1,1,0,6396,5770,1628,1147,2504,1132,291,30,175,31,8,785,830,525,38,44,14,43,0,164,162,1458,496,0,0.2821,0.3442,0.4340,850.9749,5.2565,0.1518,0.0000,0.7782,79.4872,0.0000
6,2014,100,0,1,1,0,6275,5705,1513,1273,2274,1045,306,31,131,69,23,655,682,452,61,55,15,46,2,140,162,1458,468,0,0.2652,0.3228,0.3986,727.5130,4.4481,0.1334,0.0000,0.7214,75.0000,0.0000
6,2015,100,0,1,1,0,6287,5801,1566,1290,2408,1086,276,46,158,58,36,656,674,377,46,45,12,50,2,144,161,1449,480,0,0.2700,0.3169,0.4151,738.7802,4.4555,0.1451,0.0000,0.7320,61.7021,0.0000
6,2016,100,0,1,1,0,6257,5726,1531,1322,2564,983,285,41,222,62,33,693,731,446,55,44,9,32,0,156,162,1458,548,0,0.2674,0.3235,0.4478,799.5156,4.8784,0.1804,0.0000,0.7712,65.2632,0.0000
6,2017,100,0,1,1,0,6133,5583,1406,1455,2239,957,234,46,169,79,29,680,715,450,46,58,7,33,2,129,162,1458,449,0,0.2518,0.3125,0.4010,693.4066,4.2793,0.1492,0.0000,0.7136,73.1481,0.0000
