player_id,league_id,streak_id,value,has_ended,started,ended
887,100,0,1,0,"2002-9-29",NULL
892,100,5,3,1,"2001-7-28","2001-9-25"
892,100,4,20,1,"2004-8-6","2004-10-2"
892,100,6,6,1,"2005-5-27","2006-9-9"
892,100,6,1,0,"2006-9-19",NULL
892,100,4,1,0,"2006-9-21",NULL
894,100,0,6,1,"2000-5-11","2000-5-20"
894,100,1,3,1,"2000-9-27","2000-9-30"
894,100,2,1,1,"2002-8-4","2002-8-19"
894,100,3,1,1,"2002-8-4","2002-8-19"
902,100,0,9,1,"2002-9-25","2003-4-8"
902,100,1,4,1,"2004-8-27","2004-9-5"
902,100,3,2,1,"2007-7-21","2007-8-5"
902,100,2,1,1,"2007-9-29","2008-4-8"
910,100,2,1,1,"2002-9-5","2002-9-11"
910,100,3,2,1,"2002-9-5","2002-9-17"
910,100,7,10,1,"2003-5-22","2004-4-12"
910,100,6,5,1,"2004-8-19","2004-9-24"
910,100,5,5,1,"2005-7-24","2005-8-28"
910,100,1,1,1,"2006-5-19","2006-6-17"
910,100,0,2,1,"2008-4-17","2008-6-2"
910,100,5,2,0,"2010-4-28",NULL
910,100,7,1,0,"2010-4-28",NULL
925,100,5,7,1,"2000-5-5","2000-6-18"
925,100,7,8,1,"2000-5-5","2000-6-18"
925,100,0,3,1,"2001-8-18","2001-9-3"
925,100,6,6,1,"2001-9-30","2002-5-9"
925,100,3,2,1,"2002-6-5","2002-6-17"
925,100,2,1,1,"2002-6-11","2002-6-17"
925,100,1,1,1,"2002-6-11","2002-6-17"
925,100,5,5,0,"2003-4-5",NULL
925,100,7,2,0,"2003-5-22",NULL
929,100,3,3,1,"2002-6-1","2002-6-6"
929,100,0,6,1,"2002-7-27","2002-8-6"
929,100,1,4,1,"2003-9-26","2004-4-24"
929,100,2,1,1,"2004-9-11","2004-9-29"
937,100,1,10,1,"2000-4-5","2000-4-20"
937,100,0,8,1,"2000-6-6","2000-6-17"
937,100,3,3,1,"2000-9-20","2000-9-23"
937,100,2,1,1,"2001-9-28","2001-9-29"
945,100,7,4,1,"2000-4-5","2000-4-25"
945,100,5,2,1,"2000-4-15","2000-4-25"
945,100,6,3,1,"2000-5-16","2000-6-3"
945,100,5,1,0,"2001-4-15",NULL
948,100,1,8,1,"2002-7-14","2002-7-22"
948,100,2,5,1,"2004-8-28","2004-9-3"
948,100,3,9,1,"2004-8-28","2004-9-7"
948,100,0,12,1,"2005-5-14","2005-5-28"
955,100,5,3,1,"2000-8-27","2002-6-5"
955,100,7,3,1,"2000-8-27","2002-6-5"
955,100,6,13,1,"2002-6-5","2003-5-9"
955,100,6,3,0,"2004-7-7",NULL
955,100,7,2,0,"2006-8-11",NULL
